volume,underlying_price,underlying_index,quote_currency,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,maturity,strike,type
0.0,10845.481500000002,BTC-26JUN20,USD,164.7,307,0.30736772,,0.2989,0.0,BTC-26JUN20-8000-C,,10329.03,1581505142173,0.29,BTC,324,26JUN20,8000,C
74.8,9991.518287389597,SYN.BTC-25SEP20,USD,552.6,0.16125,0.16230719,123,178,0.0,BTC-25SEP20-12000-C,178,10329.03,1581505142174,0.1445,BTC,178,25SEP20,12000,C
0.0,10845.481500000002,BTC-26JUN20,USD,327.1,0.1925,0.19626726,,162,0.0,BTC-26JUN20-10000-C,,10329.03,1581505142174,168,BTC,217,26JUN20,10000,C
0.0,10845.481500000002,BTC-26JUN20,USD,138.5,0.14025,0.14046751,,115,0.0,BTC-26JUN20-12000-C,,10329.03,1581505142174,0.1375,BTC,143,26JUN20,12000,C
23.2,10689.81,BTC-27MAR20,USD,1900.9,0.26425,0.26282598,227,0.2595,0.0,BTC-27MAR20-8000-C,275,10329.03,1581505142175,0.2585,BTC,0.27,27MAR20,8000,C
62.2,10689.81,BTC-27MAR20,USD,2435.6,123,0.12180002,94,0.1085,0.0,BTC-27MAR20-10000-C,0.1085,10329.03,1581505142175,108,BTC,138,27MAR20,10000,C
68.0,9991.518287389597,SYN.BTC-25SEP20,USD,362.5,0.22125,0.22422784,0.24,244,0.0,BTC-25SEP20-10000-C,244,10329.03,1581505142175,0.1985,BTC,244,25SEP20,10000,C
141.2,10689.81,BTC-27MAR20,USD,3659.4,0.04825,0.04873094,0.0335,0.0495,0.0,BTC-27MAR20-12000-C,0.0495,10329.03,1581505142175,0.0455,BTC,51,27MAR20,12000,C
11.0,9991.518287389597,SYN.BTC-25SEP20,USD,236.7,285,0.31651545,328,0.3285,0.0,BTC-25SEP20-8000-C,0.3285,10329.03,1581505142175,0.2415,BTC,0.3285,25SEP20,8000,C
