volume,underlying_price,underlying_index,quote_currency,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,maturity,strike,type
0.0,10402.128604828677,SYN.BTC-21FEB20,USD,0.0,,0.1622108,,,0.0,BTC-21FEB20-8750-C,,10329.03,1581505142173,,BTC,,21FEB20,8750,C
2.2,10402.128604828677,SYN.BTC-21FEB20,USD,2.2,,0.09539522,0.0675,0.0675,0.0,BTC-21FEB20-9500-C,0.0675,10329.03,1581505142173,,BTC,,21FEB20,9500,C
0.0,10402.128604828677,SYN.BTC-21FEB20,USD,0.0,,0.08845144,,,0.0,BTC-21FEB20-11250-P,,10329.03,1581505142173,0.0015,BTC,,21FEB20,11250,P
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,709.9,0.12425,0.1672857,,0.143,0.0,BTC-25SEP20-9000-P,,10329.03,1581505142173,0.1,BTC,0.1485,25SEP20,9000,P
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,311.9,0.56375,0.61902237,,0.6225,0.0,BTC-25SEP20-15000-P,,10329.03,1581505142173,0.5195,BTC,0.608,25SEP20,15000,P
1.8,9991.518287389597,SYN.BTC-25SEP20,USD,798.3,0.053,0.07581255,0.0495,0.0495,0.0,BTC-25SEP20-7000-P,0.0495,10329.03,1581505142173,0.041,BTC,0.065,25SEP20,7000,P
0.0,10402.128604828677,SYN.BTC-21FEB20,USD,0.0,,0.00194976,,,0.0,BTC-21FEB20-8500-P,,10329.03,1581505142173,0.0005,BTC,,21FEB20,8500,P
20.3,10344.58832598469,SYN.BTC-14FEB20,USD,17.8,0.00375,0.00370882,0.0045,0.0045,0.0,BTC-14FEB20-9750-P,0.0125,10329.03,1581505142173,0.003,BTC,0.0045,14FEB20,9750,P
0.0,10845.481500000002,BTC-26JUN20,USD,164.7,0.307,0.30736772,,0.2989,0.0,BTC-26JUN20-8000-C,,10329.03,1581505142173,0.29,BTC,0.324,26JUN20,8000,C
2.0,10336.368286231384,SYN.BTC-13FEB20,USD,1.0,0.00475,0.0045912,0.0035,0.0035,0.0,BTC-13FEB20-10625-C,0.009,10329.03,1581505142173,0.0035,BTC,0.006,13FEB20,10625,C
18.2,10336.368286231384,SYN.BTC-13FEB20,USD,18.2,0.003,0.0029766,0.0175,0.0175,0.0,BTC-13FEB20-10000-P,0.028,10329.03,1581505142173,0.002,BTC,0.004,13FEB20,10000,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,300.0,,0.13006754,,0.1222,0.0,BTC-14FEB20-9000-C,,10329.03,1581505142173,,BTC,0.144,14FEB20,9000,C
8.8,10459.668883672663,SYN.BTC-28FEB20,USD,81.6,0.01475,0.0148659,0.0145,0.0145,0.0,BTC-28FEB20-12000-C,0.0145,10329.03,1581505142173,0.0135,BTC,0.016,28FEB20,12000,C
4.4,10336.368286231384,SYN.BTC-13FEB20,USD,4.4,,0.04293598,0.047,0.047,0.0,BTC-13FEB20-10750-P,0.047,10329.03,1581505142173,0.0375,BTC,,13FEB20,10750,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,200.0,,1.564e-05,,0.012,0.0,BTC-14FEB20-8750-P,,10329.03,1581505142173,,BTC,0.012,14FEB20,8750,P
1.0,10689.81,BTC-27MAR20,USD,1182.3,0.329,0.33235244,0.3545,0.3545,0.0,BTC-27MAR20-14000-P,0.3545,10329.03,1581505142173,0.308,BTC,0.35,27MAR20,14000,P
0.0,10402.128604828677,SYN.BTC-21FEB20,USD,0.0,,0.11182759,,,0.0,BTC-21FEB20-11500-P,,10329.03,1581505142173,0.0015,BTC,,21FEB20,11500,P
3.0,10459.668883672663,SYN.BTC-28FEB20,USD,151.4,0.018,0.01790635,0.0295,0.0295,0.0,BTC-28FEB20-9500-P,0.0295,10329.03,1581505142174,0.0165,BTC,0.0195,28FEB20,9500,P
6.6,10336.368286231384,SYN.BTC-13FEB20,USD,6.6,,0.0691068,0.028,0.0395,0.0,BTC-13FEB20-9625-C,0.0395,10329.03,1581505142174,,BTC,,13FEB20,9625,C
0.0,10689.81,BTC-27MAR20,USD,660.8,0.3465,0.35033836,,0.302,0.0,BTC-27MAR20-7000-C,,10329.03,1581505142174,0.339,BTC,0.354,27MAR20,7000,C
19.2,10336.368286231384,SYN.BTC-13FEB20,USD,12.6,0.0245,0.03552025,0.0125,0.0265,0.0,BTC-13FEB20-10000-C,0.037,10329.03,1581505142174,0.008,BTC,0.041,13FEB20,10000,C
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,0.0,,0.17831728,,,0.0,BTC-14FEB20-8500-C,,10329.03,1581505142174,,BTC,0.1805,14FEB20,8500,C
0.2,10845.481500000002,BTC-26JUN20,USD,167.6,0.35275,0.3948014,0.3935,0.3935,0.0,BTC-26JUN20-14000-P,0.3935,10329.03,1581505142174,0.3175,BTC,0.388,26JUN20,14000,P
45.2,10402.128604828677,SYN.BTC-21FEB20,USD,34.7,0.0195,0.02141962,0.0105,0.0115,0.0,BTC-21FEB20-10250-P,0.0455,10329.03,1581505142174,0.017,BTC,0.022,21FEB20,10250,P
4.4,10336.368286231384,SYN.BTC-13FEB20,USD,4.4,,0.09306263,0.047,0.047,0.0,BTC-13FEB20-9375-C,0.055,10329.03,1581505142174,,BTC,,13FEB20,9375,C
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,100.0,,2.16e-06,,0.0081,0.0,BTC-14FEB20-8500-P,,10329.03,1581505142174,,BTC,,14FEB20,8500,P
26.4,10336.368286231384,SYN.BTC-13FEB20,USD,18.8,0.008,0.00954427,0.0095,0.013,0.0,BTC-13FEB20-10250-P,0.0425,10329.03,1581505142174,0.006,BTC,0.01,13FEB20,10250,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,113.2,,8.683e-05,,0.003,0.0,BTC-14FEB20-9000-P,,10329.03,1581505142174,,BTC,,14FEB20,9000,P
4.4,10344.58832598469,SYN.BTC-14FEB20,USD,5.4,0.11875,0.04739945,0.048,0.048,0.0,BTC-14FEB20-10750-P,0.048,10329.03,1581505142174,0.039,BTC,0.1985,14FEB20,10750,P
0.0,10459.668883672663,SYN.BTC-28FEB20,USD,270.9,,0.00080631,,0.003,0.0,BTC-28FEB20-7500-P,,10329.03,1581505142174,,BTC,0.001,28FEB20,7500,P
224.5,10402.128604828677,SYN.BTC-21FEB20,USD,237.3,0.014,0.01394239,0.0105,0.0105,0.0,BTC-21FEB20-10000-P,0.034,10329.03,1581505142174,0.012,BTC,0.016,21FEB20,10000,P
1.0,10689.81,BTC-27MAR20,USD,554.3,0.43775,0.43979054,0.431,0.431,0.0,BTC-27MAR20-6000-C,0.431,10329.03,1581505142174,0.432,BTC,0.4435,27MAR20,6000,C
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,1258.5,0.00325,0.00309677,,0.005,0.0,BTC-25SEP20-3000-P,,10329.03,1581505142174,0.002,BTC,0.0045,25SEP20,3000,P
1.0,10344.58832598469,SYN.BTC-14FEB20,USD,26.1,0.0045,0.00454099,0.011,0.011,0.0,BTC-14FEB20-11000-C,0.011,10329.03,1581505142174,0.0035,BTC,0.0055,14FEB20,11000,C
0.4,10344.58832598469,SYN.BTC-14FEB20,USD,101.1,0.00825,0.00820975,0.0055,0.0055,0.0,BTC-14FEB20-10750-C,0.0115,10329.03,1581505142174,0.0065,BTC,0.01,14FEB20,10750,C
274.0,10402.128604828677,SYN.BTC-21FEB20,USD,300.0,0.05325,0.05259807,0.025,0.0532,0.0,BTC-21FEB20-10000-C,0.0532,10329.03,1581505142174,0.043,BTC,0.0635,21FEB20,10000,C
0.0,10402.128604828677,SYN.BTC-21FEB20,USD,0.0,,0.00112315,,,0.0,BTC-21FEB20-8250-P,,10329.03,1581505142174,,BTC,,21FEB20,8250,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,0.0,,2.1e-07,,,0.0,BTC-14FEB20-8250-P,,10329.03,1581505142174,,BTC,,14FEB20,8250,P
400.0,10402.128604828677,SYN.BTC-21FEB20,USD,400.0,,0.14053979,0.14,0.14,0.0,BTC-21FEB20-9000-C,0.14,10329.03,1581505142174,0.163,BTC,,21FEB20,9000,C
58.8,10344.58832598469,SYN.BTC-14FEB20,USD,180.1,0.00725,0.00710198,0.005,0.008,0.0,BTC-14FEB20-10000-P,0.03,10329.03,1581505142174,0.006,BTC,0.0085,14FEB20,10000,P
142.4,10402.128604828677,SYN.BTC-21FEB20,USD,125.4,0.01375,0.01386501,0.007,0.0095,0.0,BTC-21FEB20-10750-C,0.0135,10329.03,1581505142174,0.0115,BTC,0.016,21FEB20,10750,C
0.0,10336.368286231384,SYN.BTC-13FEB20,USD,0.0,,0.0001246,,,0.0,BTC-13FEB20-9500-P,,10329.03,1581505142174,,BTC,,13FEB20,9500,P
2.0,10459.668883672663,SYN.BTC-28FEB20,USD,5.0,,0.20662971,0.202,0.202,0.0,BTC-28FEB20-12500-P,0.202,10329.03,1581505142174,,BTC,0.2555,28FEB20,12500,P
18.6,10459.668883672663,SYN.BTC-28FEB20,USD,452.4,0.05125,0.04588501,0.031,0.036,0.0,BTC-28FEB20-10500-C,0.036,10329.03,1581505142174,0.0485,BTC,0.054,28FEB20,10500,C
13.8,10336.368286231384,SYN.BTC-13FEB20,USD,7.2,0.0135,0.01528598,0.018,0.018,0.0,BTC-13FEB20-10375-P,0.05,10329.03,1581505142174,0.011,BTC,0.016,13FEB20,10375,P
0.0,10459.668883672663,SYN.BTC-28FEB20,USD,1000.0,0.32925,0.33097044,,0.2815,0.0,BTC-28FEB20-7000-C,,10329.03,1581505142174,0.3245,BTC,0.334,28FEB20,7000,C
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,430.4,0.173,0.225096,,0.185,0.0,BTC-25SEP20-10000-P,,10329.03,1581505142174,0.142,BTC,0.204,25SEP20,10000,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,0.0,,0.08963641,,,0.0,BTC-14FEB20-11250-P,,10329.03,1581505142174,,BTC,0.102,14FEB20,11250,P
0.0,10344.58832598469,SYN.BTC-14FEB20,USD,0.0,,0.20248253,,,0.0,BTC-14FEB20-8250-C,,10329.03,1581505142174,,BTC,0.2005,14FEB20,8250,C
18.8,10336.368286231384,SYN.BTC-13FEB20,USD,18.8,0.01175,0.01155002,0.004,0.011,0.0,BTC-13FEB20-10375-C,0.012,10329.03,1581505142174,0.0095,BTC,0.014,13FEB20,10375,C
34.0,10402.128604828677,SYN.BTC-21FEB20,USD,42.0,0.003,0.00338708,0.006,0.008,0.0,BTC-21FEB20-8750-P,0.008,10329.03,1581505142174,0.001,BTC,0.005,21FEB20,8750,P
23.0,10689.81,BTC-27MAR20,USD,3461.0,0.00825,0.00822448,0.0075,0.0075,0.0,BTC-27MAR20-18000-C,0.01,10329.03,1581505142174,0.0065,BTC,0.01,27MAR20,18000,C
0.0,10845.481500000002,BTC-26JUN20,USD,115.1,0.00825,0.01251541,,0.041,0.0,BTC-26JUN20-6000-P,,10329.03,1581505142174,0.0005,BTC,0.016,26JUN20,6000,P
