,0.05,0.1,0.15000000000000002,0.2,0.25,0.3
76,0.07169947405890936,0.06857897130629191,0.06756067178325317,0.06710167606148303,0.06689868501922655,0.06683904546219246
77,0.06183511644405657,0.060348035119219455,0.06004991587154058,0.06007846669568183,0.06024943526118046,0.06049409039191687
78,0.05155565012696744,0.051619371646569885,0.05212043290436562,0.052704237373723206,0.05330152397642119,0.0538912047486793
79,0.040429724727695696,0.04222702975558645,0.0436873663613482,0.04493180297388708,0.04602796877979964,0.04701510469764198
80,0.028291704066256838,0.032261498477152525,0.03487047053132311,0.03687528134795408,0.038530340624948665,0.03995441524472195
81,0.02344169917734065,0.02488491210990749,0.02739863800094475,0.02963286127169001,0.031567739899860975,0.03326344925270451
82,0.03535701701923595,0.029480381775473463,0.02745637107816289,0.027383426084718936,0.028060476712163992,0.029039895594891948
83,0.04666164558278667,0.03882029792742729,0.03437935505398609,0.03171979222625933,0.030358012720198696,0.029792377275392284
84,0.05734851927081642,0.04740116291905182,0.042200567137208364,0.03846825197699359,0.035789112283714015,0.033968551091641236
85,0.06758934640523098,0.05537897111379085,0.049458660496675425,0.045279977844529425,0.041999065104666264,0.03942926298860181
